iter	Passed	Remaining
0	398	397616
1	426	212751
2	443	147257
3	458	114146
4	472	94054
5	485	80405
6	504	71537
7	519	64394
8	538	59282
9	560	55486
10	577	51953
11	594	48909
12	606	46065
13	621	43803
14	637	41842
15	651	40051
16	666	38521
17	680	37140
18	694	35855
19	708	34733
20	723	33745
21	742	33001
22	753	32014
23	769	31297
24	786	30674
25	801	30041
26	818	29497
27	835	28996
28	853	28574
29	866	28024
30	884	27646
31	899	27219
32	915	26814
33	929	26420
34	942	25975
35	953	25525
36	970	25261
37	985	24945
38	1000	24659
39	1016	24388
40	1031	24119
41	1045	23841
42	1061	23620
43	1077	23406
44	1092	23181
45	1106	22951
46	1118	22685
47	1130	22417
48	1144	22212
49	1157	21998
50	1174	21852
51	1190	21697
52	1205	21547
53	1220	21376
54	1236	21244
55	1250	21083
56	1263	20895
57	1277	20743
58	1293	20625
59	1308	20493
60	1324	20386
61	1339	20264
62	1351	20103
63	1363	19947
64	1380	19853
65	1393	19715
66	1409	19632
67	1424	19517
68	1439	19418
69	1452	19296
70	1467	19204
71	1483	19121
72	1500	19054
73	1514	18956
74	1530	18871
75	1542	18757
76	1556	18653
77	1572	18590
78	1601	18667
79	1614	18566
80	1628	18478
81	1648	18455
82	1663	18374
83	1678	18306
84	1717	18488
85	1738	18478
86	1754	18410
87	1768	18331
88	1786	18285
89	1805	18254
90	1822	18208
91	1854	18307
92	1872	18260
93	1887	18191
94	1905	18150
95	1951	18372
96	1976	18397
97	2005	18455
98	2025	18434
99	2041	18376
100	2054	18284
101	2075	18269
102	2091	18215
103	2103	18125
104	2120	18074
105	2133	17995
106	2147	17924
107	2160	17847
108	2175	17780
109	2190	17726
110	2207	17676
111	2224	17633
112	2238	17569
113	2251	17499
114	2265	17437
115	2280	17377
116	2296	17330
117	2310	17269
118	2323	17204
119	2335	17125
120	2350	17072
121	2364	17015
122	2378	16957
123	2395	16922
124	2408	16859
125	2422	16803
126	2435	16739
127	2447	16675
128	2462	16626
129	2482	16616
130	2497	16566
131	2512	16524
132	2526	16470
133	2542	16431
134	2555	16372
135	2572	16342
136	2586	16292
137	2598	16230
138	2614	16197
139	2630	16161
140	2646	16122
141	2662	16086
142	2678	16051
143	2691	15999
144	2705	15951
145	2719	15907
146	2736	15881
147	2752	15842
148	2764	15786
149	2777	15741
150	2792	15699
151	2807	15660
152	2820	15614
153	2837	15585
154	2850	15537
155	2866	15508
156	2883	15482
157	2894	15426
158	2906	15372
159	2918	15324
160	2935	15298
161	2952	15271
162	2966	15230
163	2982	15205
164	2994	15155
165	3013	15138
166	3027	15101
167	3040	15058
